obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Blink, Derived, totPwr, class 
194,193.7,14876,17512,16754,3248,1143,4735,1523,1728,78,87, NA,0.52,61519,  X
195,194.7,64584,25462,7179,1530,2805,2534,349,433,67,80, NA,0.26,104876,  X
196,195.7,22897,10649,4095,1700,6126,5528,1475,2068,67,69, NA,0.27,54538,  X
197,196.7,49619,55552,30901,17449,9712,10114,2589,3143,60,64, NA,0.42,179079,  X
198,197.7,17191,11344,4125,3225,2046,8058,6590,2510,69,54, NA,0.27,55089,  X
199,198.7,67745,49692,51218,37370,10882,8099,4129,2908,67,70,38,0.47,232043,  X
200,199.7,344671,22815,9208,2820,4979,2940,1900,2857,57,74, NA,0.15,392190,  X
201,200.7,1139391,62846,57737,10992,16295,12358,6112,4859,56,77, NA,0.21,1310590,  X
202,201.7,220304,64947,30082,19667,9707,6716,11036,4795,41,83, NA,0.29,367254,  X
203,202.7,15887,14039,2956,35483,7705,5985,2953,6217,47,84, NA,0.18,91225,  X
204,203.7,356163,107640,14368,11817,13496,7735,2887,2975,43,78, NA,0.17,517081,  X
205,204.7,158321,31505,5772,27767,47053,10252,3944,2924,48,70, NA,0.14,287538,  X
206,205.7,17185,19039,7609,2436,4034,5917,6830,1610,57,64, NA,0.34,64660,  X
207,206.6,19567,20992,6940,4884,10872,8735,1484,2693,63,48, NA,0.3,76167,  X
208,207.6,1330,8755,5615,5940,5009,5560,2578,1479,75,60, NA,0.39,36266,  X
209,208.6,10349,22243,7432,6252,14348,8765,1443,2443,78,56, NA,0.32,73275,  X
210,209.6,3424,4033,2611,4205,5573,7745,564,1069,90,57, NA,0.3,29224,  X
211,210.6,9731,7358,26652,6041,22097,3399,826,1252,81,69, NA,0.59,77356,  X
212,211.6,7154,8110,1854,2271,1845,3917,2201,623,83,64, NA,0.26,27975,  X
213,212.6,17594,7343,8940,3113,8350,3232,673,1806,80,70, NA,0.42,51051,  X
214,213.6,5783,17602,721,3953,4494,4045,1886,1496,67,64, NA,0.13,39980,  X
215,214.6,9182,17077,20173,2329,2647,2185,1693,700,64,64, NA,0.6,55986,  X
216,215.6,25693,17916,8859,11302,6450,5167,1958,1381,56,70, NA,0.34,78726,  X
217,216.6,8400,4238,9495,3169,6814,3580,1216,1025,57,77, NA,0.5,37937,  X
218,217.6,5316,7483,2698,7774,6346,4162,2283,1241,60,88, NA,0.27,37303,  X
219,218.6,2808,8306,12141,4665,3615,1574,972,1208,61,90, NA,0.59,35289,  X
220,219.5,27983,8026,7122,4043,2754,5169,890,1304,66,90, NA,0.35,57291,  X
221,220.5,3915,6243,3280,1706,3045,5330,1713,1075,75,80, NA,0.35,26307,  X
222,221.6,10960,5616,6351,3965,2523,5188,1660,732,77,83, NA,0.41,36995,  X
223,222.5,14575,7719,9495,6744,7206,4046,1945,1593,84,78, NA,0.42,53323,  X
224,223.5,41298,10370,16627,5077,5811,7701,1697,1725,83,81, NA,0.43,90306,  X
225,224.5,101378,31305,8689,1955,10228,11056,3481,1240,78,78, NA,0.23,169332,  X
226,225.5,5500,6606,11669,3134,8230,4562,1623,1311,75,78, NA,0.52,42635,  X
227,226.5,5338,2905,1955,6847,6459,6337,645,1390,84,74, NA,0.25,31876,  X
228,227.5,2929,1988,4913,3183,3809,3467,1716,738,87,70, NA,0.46,22743,  X
229,228.5,19625,24145,2248,10517,4608,8839,2160,926,87,77, NA,0.18,73068,  X
230,229.5,46079,61966,4309,18184,18162,9818,8909,2876,81,64, NA,0.16,170303,  X
231,230.5,185547,30835,10345,18255,2997,2351,1265,429,60,67, NA,0.2,252024,  X
232,231.5,7958,4723,12167,2180,2421,4564,2895,1543,56,74, NA,0.56,38451,  X
233,232.5,44480,62994,6566,7954,3932,4486,2611,1179,47,67, NA,0.22,134202,  X
234,233.4,9191,21739,7831,2547,7847,3867,1578,2614,47,69, NA,0.37,57214,  X
235,234.4,22011,13244,2721,16274,4563,3576,1086,2306,54,70, NA,0.2,65781,  X
236,236.4,383494,392346,44231,85403,226328,134693,17412,16455,56,51, NA,0.18,1300362,  X
237,237.4,26279,4752,11927,5712,3186,9538,2535,1582,74,67, NA,0.43,65511,  X
238,238.4,26712,15115,1677,1737,2519,2812,1362,1331,74,61, NA,0.18,53265,  X
239,239.4,104105,29383,8525,18959,10520,5101,4749,3102,70,57, NA,0.21,184444,  X
240,240.4,10067,5049,16955,6116,11117,3975,2206,3390,66,78,31,0.54,58875,  X
241,241.4,132619,16366,11466,7747,6770,3642,1043,610,54,75, NA,0.25,180263,  X
242,242.4,34357,17124,21805,2502,11819,8342,3766,1338,57,87, NA,0.46,101053,  X
243,243.4,54537,34191,15591,6759,7891,7009,3006,2537,61,83, NA,0.34,131521,  X
244,244.3,17645,20169,4766,2579,3804,5293,1720,1357,63,66, NA,0.29,57333,  X
245,245.4,7626,5446,3695,3986,7360,4499,917,470,74,63, NA,0.33,33999,  X
246,246.3,5462,8640,3270,2331,5138,1634,2210,1245,67,56, NA,0.33,29930,  X
247,247.3,3436,5098,5028,7426,3858,8251,4116,795,80,61, NA,0.36,38008,  X
248,248.3,12668,4159,15796,3358,2323,2686,1334,1847,75,83, NA,0.6,44171,  X
249,249.3,75135,2900,2105,5010,12889,4815,1513,1181,78,80, NA,0.14,105548,  X
250,250.3,19466,14076,2966,15276,9165,7786,1371,1536,83,87, NA,0.2,71642,  X
251,251.3,853524,172114,33840,16297,6023,21530,3650,4308,70,75, NA,0.17,1111286,  X
252,252.3,311226,182846,25869,23806,18863,31448,11813,7783,70,50, NA,0.21,613654,  X
253,253.3,37734,17473,6293,4365,1856,1143,784,435,51,56, NA,0.3,70083,  X
254,254.3,32704,11871,2435,15173,12865,12990,8368,6016,56,53, NA,0.15,102422,  X
255,255.3,39735,48828,24074,17614,8433,4195,5904,3092,50,63, NA,0.4,151875,  X
256,256.3,12229,27636,2083,9638,6761,5594,6782,11242,50,67, NA,0.16,81965,  X
257,257.3,8287,11090,2615,3122,5400,7383,8483,7485,69,60, NA,0.22,53865,  X
258,258.3,15079,14430,946,2367,9039,7153,4984,4469,67,43, NA,0.13,58467,  X
259,259.2,35786,8667,398,3623,5904,7688,4614,3035,90,30, NA,0.08,69715,  X
260,260.2,8351,4329,8545,1963,6186,2723,547,3852,91,41, NA,0.48,36496,  X
261,261.2,29920,25032,3770,824,6707,2272,957,254,78,35, NA,0.23,69736,  X
262,262.2,22953,22986,8836,13927,26199,9229,12137,14892,74,48, NA,0.26,131159,  X
263,263.2,102502,90471,13326,20887,3429,22158,13996,8209,61,53, NA,0.22,274978,  X
264,265.1,58043,52925,21597,46256,8919,19710,9244,11602,61,54,44,0.31,228296,  X
265,266.2,1782665,125865,41328,28779,47104,25436,10659,7953,51,66,49,0.14,2069789,  X
266,267.2,175840,32316,20139,37221,12350,16656,10628,11200,54,78, NA,0.25,316350,  X
267,268.1,894578,87715,119947,38439,73575,19728,28530,20192,48,78,55,0.31,1282704,  X
268,269.2,634264,28834,6183,10747,5185,3213,2176,2896,53,78,44,0.09,693498,  X
